tags,pt-br,es,en,ru,de,status
preparando.subs.h2.1,A amizade com o cigarro,La amistad con el cigarrillo,The friendship with the cigarette,Дружба с сигаретой,Die Freundschaft zur Zigarette,ok
preparando.subs.p.1,"Na maioria dos casos, existe um forte elo com o cigarro devido:","En la mayoría de los casos, existe un fuerte vínculo con el cigarrillo debido a:","In most of the cases, there is a strong bond with the cigarette due to:",В большинстве случаев существует сильная связь с сигаретой из-за:,"In den meisten Fällen besteht eine enge Bindung zur Zigarette, da:",ok
preparando.subs.li.4,Dependência física causada pela nicotina contida no cigarro.,Dependencia física causada por la nicotina contenida en el cigarrillo.,The physical dependence caused by the nicotine in the cigarette.,"Физической зависимости, вызванной никотином в сигаретах.",durch das Nikotin in der Zigarette eine körperliche Abhängigkeit entwickelt wurde.,ok
preparando.subs.li.5,Dependência psicológica como no caso de usar o cigarro em situações de estresse.,Dependencia psicológica como en el caso de usar cigarrillo en situaciones de estrés.,The psychological dependence as in the case of using the cigarette during stressful situations.,"Психологической зависимости (как, например, курения во время стрессовых ситуаций).",durch das Rauchen in Stresssituationen eine psychologische Abhängigkeit entwickelt wurde.,ok
preparando.subs.li.6,"Associação com comportamentos e situações como fumar ao: ingerir bebidas alcóolicas, após comer, assistir televisão.","Asociación con comportamientos y situaciones como fumar al: ingerir bebidas alcohólicas, después de comer, ver la televisión.","Associating behaviors and situations with smoking when: drinking alcohol, after eating and when watching TV.","Ассоциативного поведения и ситуаций, связанных с курением: употребление алкоголя, после приема пищи и во время просмотра телевизора.","das Rauchen zur Gewohnheit in bestimmten Situationen geworden ist. Dazu zählen Tätigkeiten wie der Genuss von alkoholischen Getränken, Rauchen nach dem Essen oder während des Fernsehens.",ok
preparando.subs.next.p,Saiba onde encontrar ajuda,Sepa dónde encontrar ayuda,Find out where to get help,"Узнайте, где найти помощь","Erfahren Sie, wo Sie Hilfe finden",ok
###################################,,,,,,ok
# SECOND HAND SMOKING,,,,,,ok
###################################,,,,,,ok
preparando.passivo.titlepage,Fumo passivo,Tabaquismo pasivo,Secondhand smoking,Пассивное курения,Passivrauchen,ok
preparando.passivo.h1.1,Fumo passivo,Fumador pasivo,Secondhand smoking,Пассивное курения,Passivrauchen,ok
preparando.passivo.h2.1,O que é?,¿Qué es?,What is it?,,Was ist das?,ok
preparando.passivo.p.1,"É o fumo que se dá através da respiração da fumaça produzida por um fumante e/ou pelo cigarro nas proximidades, sem que a pessoa fume de fato.","Es la persona que respira el humo del fumador activo, encontrándose el cigarrillo cerca, sin que la persona fume.",It is the act of inhaling the smoke from burning tobacco.,"Это действие, во время которого вдыхается дым от сожженного табака.","Darunter versteht man den Zigarettenrauch, der von Personen, die sich im Umfeld des Rauchenden befinden, eingeatmet wird ohne dass diese selbst aktiv rauchen.",ok
preparando.passivo.h2.2,Danos à saúde,Daños para la salud,Health consequences,Последствия для здоровья,Gesundheitsschäden,ok
preparando.passivo.li.1,O fumo passivo causa mal à saúde também;,Ser fumador pasivo es perjudicial también. ,"Secondhand smoking is harmful, too;",Пассивное курения также вредно;,Passives Rauchen verursacht ebenso gesundheitliche Schäden. ,ok
preparando.passivo.li.2,"Em crianças o fumo passivo pode provocar a morte súbita infantil, problemas respiratórios e danos ao ouvido;","En niños el tabaquismo pasivo puede causar la muerte súbita infantil, problemas respiratorios y daños en el oído;","Among children, secondhand smoking causes sudden infant death, breathing issues and ear infections;","Среди детей пассивное курение приводит к синдрому врезапной детской смерти, проблемам с дыханием и ушным инфекциям;","Bei Kindern kann der passiv eingeatmete Rauch zu einem plötzlichen Kindstod, Atmungsproblemen und Gehörschäden führen.",ok
preparando.passivo.li.3,"Em adultos, causa danos imediatos ao sistema cardiovascular, podendo causar doenças coronarianas e câncer de pulmão.","En adultos, causa daños inmediatos al sistema cardiovascular, puede causar enfermedades coronarias y cáncer de pulmón.","Among adults, secondhand smoking causes coronary heart diseases and lung cancer.",Среди взрослых пассивное курение может вызвать коронарные сердечные проблемы и рак легких.,"Bei Erwachsenen führt er zu akuten Herz-Kreislauf Problemen, die zu koronaren Herzproblemen oder Lungenkrebs führen können.",ok
preparando.passivo.h2.3,O que você pode fazer para ajudar,¿Qué puede hacer usted para ayudar ?,What can you do to help?,Что Вы можете сделать?,"Was Sie tun können, um vorzubeugen",ok
preparando.passivo.li.4,Fumar em lugares abertos e fora de locais públicos;,Fumar en lugares abiertos y fuera de los lugares públicos;,Smoke in open places and out of public places;,Курите на открытой местности и вне публичных мест;,An der frischen Luft und fern ab von öffentlichen Orten rauchen;,ok
preparando.passivo.li.5,Fumar no exterior da casa para evitar o contato da fumaça que fica no ambiente em familiares e animais domésticos;,Fumar en el exterior de la casa para evitar que el humo quede en el ambiente y afecte a familiares y animales domésticos.,Smoke outside the house in order to avoid affecting family members and pets with the smoke;,"Не курите дома, чтоб не оказывать влияния на членов семьи и домашних питомцев;","Außerhalb des Hauses/der Wohnung rauchen, um zu vermeiden, dass Familienmitglieder oder Haustiere in Kontakt mit dem Rauch kommen.",ok
preparando.passivo.next.p,"Você sabia que seu organismo, ao parar de fumar, já apresenta melhoras logo nas primeiras semanas?","¿Usted sabía que su cuerpo, cuando para de fumar, ya presenta mejoras después de las primeras semanas?",Do you know that your health improves few weeks after you quit smoking?,"Знаете ли Вы. что Ваше здоровье улучшится через несколько недель после того, как вы бросите курить?","Wussten Sie, dass Ihr Körper bereits in den ersten Wochen, nachdem Sie mit dem Rauchen aufgehört haben, deutliche Verbesserungen zeigt?",ok
preparando.passivo.btn.title,Vantagens de parar de fumar,Beneficios de dejar de fumar,Benefits of quit smoking,Выгоды бросить курить,Vorteile des Rauchstopps,ok
authors,Autores,Autores,Authors,Авторы,Die Autoren,ok
###################################,,,,,,ok
# STEP 2 - READY TO QUIT##### #####,,,,,,ok
###################################,,,,,,ok
###################################,,,,,,ok
# INTRO,,,,,,ok
###################################,,,,,,ok
pronto.intro.h1,Pronto para parar,Listo para dejar de fumar.,Ready to quit,Готов бросить,Bereit für den Rauchstopp,ok
pronto.intro.p1,Parabéns por sua decisão! Nós iremos ajudá-lo a criar um plano personalizado.,¡Felicitaciones por su decisión! Nosotros vamos a ayudarlo a crear un plan personalizado.,Congratulations on your decision! We will help you develop a personalized plan.,Поздравляем с правильным решением!!! Мы поможем Вам разработать персональный план.,"Herzlichen Glückwunsch zu Ihrer Entscheidung! Wir werden Sie unterstützen, einen individuellen Plan aufzustellen.",ok
pronto.intro.p2,Aqui você encontra informações escritas por especialistas retiradas de estudos científicos.,Aquí usted encuentra informaciones escritas por especialistas  obtenidas a partir de estudios científicos.,"Here you will find information written by specialists, gathered from scientific sources.","Тут Вы можете найти информацию, предоставленную специалистами, собранную из научных источников.",Hier finden Sie von Experten zusammengetragene schriftliche Informationen aus Studien.,ok
pronto.intro.p3,Este programa não substitui uma consulta clínica tradicional. Recomendamos também que você procure a ajuda de um profissional de saúde.,Este programa no reemplaza una consulta clínica tradicional. Recomendamos también que usted busque la ayuda de un profesional de la salud.,Be advised: this program does not intend to replace a face-to-face treatment. We do recommend seeking help from a health professional.,Внимание! Эта программа не пытается заменить лечение лично с доктором. Мы рекоммендуем искать помощь врачей.,"Dieses Programm ersetzt keine traditionelle klinische Behandlung. Wir empfehlen Ihnen deshalb, die Hilfe eines Fachmediziners zu beanspruchen.",ok
pronto.intro.h3,Recomendações,Recomendaciones,Tips,Советы,Empfehlungen,ok
pronto.intro.li1,Procure seguir os passos em ordem.,Intente seguir los pasos en orden.,Try to follow all the steps in the order.,Старайтесь следовать всем пунктам в порядке очереди.,"Versuchen Sie, die einzelnen Schritte in ihrer Reihenfolge zu bearbeiten.",ok
pronto.intro.li2,Você poderá alterar o plano a qualquer momento. Clique no item desejado na barra lateral.,Usted podrá cambiar el plan en cualquier momento. Haga clic en el item deseado en la barra lateral.,You will be able to change the plan at any time. Click on the desired item on the side menu.,Вы сможете изменить план в любой момент. Кликните на объект интереса в боковом меню.,Sie können den Plan jederzeit verändern. Klicken Sie auf die jeweilige Position auf der Leiste an der linken Seite.,ok
pronto.intro.li3a,"Se você não quer parar, recomendamos voltar ao primeiro passo:","Si usted no quiere dejar de fumar, recomendamos volver al primer paso:","If you are not willing to make a quit attempt, we recommend you review the first step:","Если Вы не хотите попытаться бросить курить, мы рекоммендуем пересмотреть первый пункт:","Wenn Sie doch nicht aufhören wollen, empfehlen wir Ihnen zum ersten Schritt zurück zu gehen:",ok
pronto.intro.li3b,Preparando para parar,Preparación para dejar de fumar,Get ready to quit,Приготовьтесь бросить курить,Vorbereiten des Rauchstopps,ok
pronto.intro.next.h2,Próximo passo,Siguiente Paso,Next step,Далее,Nächster Schritt,ok
pronto.intro.next.p,Saiba mais sobre abstinência e descubra estratégias de como lidar com ela.,Sepa mas sobre abstinencia y descubra estrategias para enfrentarla.,Know more about withdrawal and find out strategies on how to deal with it.,"Узнайте больше про синдром отмены и про то, как иметь с ним дело.","Erfahren Sie mehr über Entzug und entdecken Sie Strategien, um richtig damit umzugehen.",ok
pronto.intro.question1,O quão motivado você está para parar de fumar?,O quão motivado você está para parar de fumar?,How motivated are you to quit smoking?,Насколько Вы мотивированы бросить курить?,O quão motivado você está para parar de fumar?,needs translation
pronto.intro.question.label,(Deslize a barra abaixo com o mouse),(Deslize a barra abaixo com o mouse),(Slide the bar below using the mouse cursor),(Двигайте планку внизу с помощью мышки),(Deslize a barra abaixo com o mouse),needs translation
pronto.intro.question.answer1,Nada motivado,Nada motivado,Not motivated,Не мотивирован,Nada motivado,needs translation
pronto.intro.question.answer2,Totalmente motivado,Totalmente motivado,Highly motivated,Очень мотивирован,Totalmente motivado,needs translation
###################################,,,,,,ok
# ABSTINENCE,,,,,,ok
###################################,,,,,,ok
pronto.abs.titlepage,Abstinência – o que é e como lidar,"Abstinencia, qué es y cómo enfrentarla.",Withdrawal - What it is and how to deal with it,Синдром отмены - Что это и как с этим быть?,Entzug - was ist das und wie geht man damit um?,ok
pronto.abs.img,Abstinência é um obstáculo,La abstinencia es un obstáculo,Withdrawal is a roadblock,Синдром отмены - это препятствие,Entzug ist ein Hürde,ok
pronto.abs.h1,Abstinência,Abstinencia,Withdrawal,Синдром отмены,Entzug,ok
pronto.abs.p1,A abstinência é uma reação natural do organismo a ausência da nicotina presente no cigarro.,La abstinencia es una reacción natural del cuerpo a la ausencia de la nicotina presente en el cigarrillo.,Withdrawal is a natural reaction of the body to the absence of the nicotine from the cigarrete.,Синдром отмены - это естесственная реакция тела на отсутствие никотина из сигареты.,Entzug ist eine natürliche Reaktion Ihres Körpers auf den Nikotinverzicht.,ok
pronto.abs.p2,"Os sintomas comuns da abstinência são: dores de cabeça, tonteiras, alterações do sono e irritação.","Los síntomas comunes de abstinencia son:dolores de cabeza, mareos, alteraciones en el sueño e irritabilidad.","The common withdrawal symptoms are headaches, sleeping problems and irritability.",Наиболее распространенными симптомами синдрома отмены являются головные боли. проблемы со сном и раздражительность.,"Verbreitete Symptome des Entzugs sind: Kopfschmerzen, Schwindel, Schlafstörungen und Irritationen.",ok
pronto.abs.p3,"É importante reconhecer e aceitar esses sintomas, sabendo que eles irão durar em média de 1 a 3 semanas.","Es importante reconocer y aceptar esos síntomas, sabiendo que van a durar en promedio de 1-3 semanas.","It is worth accepting these symptoms, being aware that they will last about 1 to 3 weeks.","Стоит принять эти симптомы, имея ввиду, что они продлятся примерно 1-3 недели.","Es ist wichtig, diese Symptome zu erkennen und zu akzeptieren. Man muss wissen, dass sie im Durchschnitt zwischen ein bis drei Wochen andauern.",ok
pronto.abs.p4,"Mesmo que pareça muito tempo, é importante reconher que os sintomas de abstinência vão passar.","A pesar de que parezca mucho tiempo, es importante reconocer que los síntomas de abstinencia van a pasar.","Even if it looks like a long time, it is important to keep in mind that withdrawal symptoms will go away.","Даже если это время кажется очень долгим, важно помнить, что симптомы отмены исчезнут.","Auch wenn sich diese Zeit sehr lang anfühlt, ist es wichtig, sich vor Augen zu führen, dass die Symptome des Entzugs verschwinden.",ok
pronto.abs.p5,"Durante o período de abstinência, você poderá sentir uma intensa vontade de fumar chamada de fissura.","Durante el periodo de tiempo de abstinencia, usted podrá sentir ganas de fumar, llamado deseo intenso de fumar.","Throughout your withdrawal, you may feel an intense urge to smoke, which is called craving.",На протяжении всего синдрома отмены Вы можете чувствовать сильное побуждение покурить - это называется тягой (ломкой).,"Während der Zeit des Entzugs kann es sein, dass Sie einen sehr starken Wunsch empfinden zu rauchen.",ok
pronto.abs.next.p,"Saiba como vencer a fissura, a intensa vontade de fumar.","Sepa como vencer el deseo intenso de fumar, las ganas de fumar. Aprenda cómo derrotar la  urgencia de fumar, el deseo intenso de fumar.","Find out how to overcome craving, the intense urge to smoke.","Узнайте, как преодолеть тягу, сильное желание покурить.","Erfahren Sie, wie Sie diesen starken Wunsch besiegen.",ok
pronto.abs.ref.p1,Fontes: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Fuente: Departamento de Salud y Servicios Humanos de los EE.UU. (2008). El tratamiento del tabaquismo: Actualización 2008: Guía de Práctica Clínica. DIANE Publishing.,Sources: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Источник: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Fontes: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,ok
###################################,,,,,,ok
# CRAVING,,,,,,ok
###################################,,,,,,ok
pronto.fis.titlepage,Fissura – técnicas para enfrentar a fissura,Deseo intenso - técnicas para enfrentar el deseo intenso de fumar,Craving - techniques to overcome it,Тяга - техники преодоления.,Entzugserscheinungen - Methoden gegen diese,ok
pronto.fis.img,Fissura,Deseo intenso,Craving,Тяга,Entzugserscheinungen,ok
pronto.fis.h1,Vencendo a fissura,Superando el deseo intenso,How to overcome craving,Как преодолеть тягу,Entzugserscheinungen besiegen,ok
pronto.fis.p1,A vontade de fumar - ou fissura - é muito comum nas pessoas que estão parando de fumar.,Las ganas de fumar - o deseo intenso - es muy común en las personas que están dejando de fumar.,The urge to smoke - or craving - is very common in people who are trying to quit.,"Желание покурить (или тяга) очень рапространено среди людей, бросающих курить. ",Die Lust zu rauchen - Entzugserscheinung - tritt sehr häufig zu Beginn des Rauchstopps auf.,ok
pronto.fis.p2,"Cada episódio dura poucos minutos, diminuindo muito ou desaparecendo depois.","Cada episodio dura unos pocos momentos,  se debilita o simplemente desaparece juesto después de eso. ",Each episode lasts a few moments and gets weaker or simply vanishes right after that.,"Каждый эпизод длится несколько моментов, а затем ослабевает или вообще исчезает.","Jede Etappe dauert nur einige Minuten an, verringert sich kontinuerlich oder verschwindet vollständig.",ok
pronto.fis.p3,Existem técnicas que podem ajudar você a enfrentar a fissura.,Existen técnicas que pueden ayudarle a usted  a enfrentar el deseo intenso de fumar.,Techniques can help you overcome craving,"Методики, которые могут помочь преодолеть тягу","Es gibt Methoden, die Ihnen helfen die Entzugserscheinungen zu bewältigen.",ok
pronto.fis.h3,Técnicas para enfrentar a fissura,Técnicas para enfrentar el deseo intenso.,Techniques for overcoming craving,Методики для преодоления тяги,Methoden zur Bewältigung der Entzugserscheinungen,ok
pronto.fis.p4,"As técnicas abaixo apesar de simples, apresentam resultados. Escolha as que você preferir para montarmos o seu plano:","Las técnicas que a continuación se dan a conocer, parecen simples, pero presentan resultados. Elija las que usted prefiera para crear su plan","The techniques below, although simple, may make your life easier. Choose the best for you:","Техники, описанные ниже, являются простыми, но могут помочь сделать Вашу жизнь проще. Выберете наиболее подходящее для Вас:","Die unten aufgeführten Methoden sind einfach aber wirksam. Suchen Sie sich für Ihren Plan die aus, die sie bevorzugen.",ok
pronto.fis.lab1,Beber um copo de água pausadamente.,Beber un vaso de agua pausadamente. Beba (Beber) un vaso de agua lentamente.,Slowly drink a glass of water.,Медленно выпейте стакан воды.,Langsam ein Glas Wasser trinken.,ok
pronto.fis.lab2,"Comer alimentos com baixa quantidade de calorias como frutas cristalizadas (uva passas), balas dietéticas e chicletes dietéticos.","Comer alimentos bajos en calorías, como frutas cristalizadas  (uvas pasas), gomas y chicles dieteticos.","Eat low calories foods such as raw vegetables, diet candies and diet chewing gum.","Кушайте низкоколорийную еду, такую как сырые овощи, диетические конфеты и диетические жевательные резинки.","Lebensmittel mit wenig Kalorien (Rosinen) essen, zu Bonbons und Kaugummi ohne Zucker greifen.",ok
pronto.fis.lab3,Fazer exercício de relaxamento em áudio MP3 - link disponível no plano de parada.,Hacer ejercicios de relajación.En audio MP3 - link disponible en el plan para dejar de fumar.,Follow the relaxation exercises recorded in the MP3 audio - (in Portuguese only),"Следуйте расслабляющим упражнениям, записанным в МР3 аудио (только по-португальски).",Entspannungsübungen mit Musik durchführen - ein Link dazu ist in Ihrem Plan vorhanden.,ok
pronto.fis.lab4,Ler um cartão com suas razões para ter parado de fumar.,Leer una tarjeta con sus razones para haber dejado de fumar.,Read a card with your reasons for having quit smoking.,"Прочитайте Ваш список причин, по которым Вы решили бросить курить.","Lesen eines Zettels, der Sie an die Gründe des Rauchstopps erinnert.",ok
pronto.fis.next.p,Saiba quais medicamentos podem aumentar suas chances de conseguir parar.,Sepa cuales medicamentos pueden aumentar sus posibilidades para dejar de fumar.,Use quit smoking medications--which can help with craving and increase your chances to quit smoking,Пользуйтесь специальными медикаментами для бросающих курить - они могут помочь с тягой и увеличить Ваши шансы бросить курить.,"Erfahren Sie, welche Medikamente Ihre Chancen für den Erfolg des Rauchstopps erhöhen.",ok
pronto.fis.next.t,Saiba mais sobre medicamentos,Sepa mas sobre medicamentos. Obtenga más informaciónes acerca de los medicamentos,Know more about the medications,Узнайте больше про медикаменты:,Erfahren Sie mehr über die Medikamente,ok
pronto.fis.ref.p1,Fonte: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Fuente: Departamento de Salud y Servicios Humanos de los EE.UU. (2008). El tratamiento del tabaquismo: Actualización 2008: Guía de Práctica Clínica. DIANE Publishing.,Source: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Источник: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,Fonte: U.S Department of Health and Human Services (2008). Treating Tobacco Use and Dependence: 2008 Update: Clinical Practice Guideline. DIANE Publishing.,ok
###################################,,,,,,ok
# MEDS,,,,,,ok
###################################,,,,,,ok
pronto.meds.titlepage,Medicamentos,Medicamentos,Medications,Медикаменты,Medikamente,ok
pronto.meds.img.title,Procure um médico para recomendar um medicamento,Busque un médico para que le recomiende un medicamento,Some medications require a physcian prescription,Некоторые препараты нуждаются в рецепте врача.,"Suchen Sie einen Arzt auf, um sich ein Medikament empfehlen zu lassen.",ok
pronto.meds.h1.1,Medicamentos,Medicamentos,Medications,Медикаменты,Medikamente,ok
pronto.meds.p.1,O uso de medicamentos é um recurso complementar ao tratamento.,El uso de medicamentos es un recurso complementario al ratamiento.,The use of medications is a valuable resource in quitting,Использоание препаратов - это ценное стредство для бросания курить.,Der Gebrauch von Medikamenten ist ein zusätzliches Mittel der Behandlung.,to be deleted
pronto.meds.p.2,"Eles funcionam melhor quando combinados com acompanhamento profissional - presencial, telefone e internet.","Funcionan mejor cuando se combinan con el apoyo profesional - sea  presencial, por teléfono o vía internet.","They work better when combined with professional assistance - face to face, by phone or internet.","Препараты работают лучше, если совмещены с профессиональной помощью - вживую, по телефону или интернету.","Sie haben eine bessere Wirksamkeit, wenn Sie mit professioneller Unterstützung eingenommen werden - vor Ort, per Telefon oder über das Internet.",to be deleted
pronto.meds.p.3,"Os medicamentos mais usados no tratamento do tabagismo são adesivos, gomas e pastilhas de nicotina e algumas medicações.",,"The most popular medications are: nicotine patches, gums, sprays and tablets as well as some non-nicotine medications","Наболее популярными препаратами явлются: никотиновые наклейки, жвачки, спреи и таблетки, а также некоторые неникотиновые медикаменты.","Die meist verbreiteten Medikamente zur Behandlung der Tabakabhängigkeit sind Nikotinpflaster, -kaugummis, -pillen und einige Antidepressiva.",to be deleted
pronto.meds.p.4,"Se for tomar qualquer um desses medicamentos, você deve consultar um médico.","Si fuera a tomar algunos de esos medicamentos, usted debe consultar un médico.",Some of these medications require prescriptions,Некоторые из этих препаратов нуждаются в рецепте.,"Wenn Sie eines der Medikamente anwenden möchten, sollten Sie vorher einen Arzt befragen.",to be deleted
pronto.meds.p.5,"Como a depressão é muito comum entre os fumantes, alguns antidepressivos também são usados no tratamento. ","Debido a que la depresión es muy común entre los fumadores, algunos antidepresivos también se utilizan en el tratamiento.","As depression is very common among smokers, some antidepressants are also used in the treatment.","Так как депрессия очень рапространена среди курильщиков, некоторые антидепрессанты также используются в лечении.","As depression is very common among smokers, some antidepressants are also used in the treatment.",to be deleted
pronto.meds.h2.1,"Reposição de Nicotina - Adesivos, gomas e pastilhas","Reemplazo de Nicotina - Parches, chicles y pastillas","Nicotine replacement therapy (NRT)  - available as patches, gums, sprays and tablets","Терапия замены никотина (ТЗН) - доступна в виде наклеек, жвачек, спреев и таблеток.","Nikotinersatz - Pflaster, Kaugummis und Pillen",to be deleted
pronto.meds.li.1,Seu uso aumenta 2 vezes as chances de você conseguir parar.,Su uso aumenta 2 veces las probabilidades de que usted consiga parar.,NRTs increase by two-fold your chances to quit.,ТЗН увеличивает Ваши шансы бросить курить в два раза.,Ihre Anwendung verdoppelt die Chancen für einen Rauchstopp,to be deleted
pronto.meds.li.2,Reduz os sintomas da abstinência e a vontade de fumar.,Reduce los síntomas de la abstinencia y el deseo de fumar.,They also reduce withdrawal symptoms and the urge to smoke.,ТЗН также уменьшает симптомы синдрома отмены и побуждения покурить.,Sie verringern die Entzugserscheinungen und die Lust zu rauchen.,to be deleted
pronto.meds.li.3,Possui poucos efeitos colaterais.,Tiene pocos efectos secundarios.,They have few side effects.,ТЗН имеет несколько побочных эффектов.,Sie verursachen nur kleinere Nebenwirkungen.,to be deleted
pronto.meds.li.4,Seu uso deve ser acompanhado por um médico.,Su uso debe ser supervisado por un médico.,The use of some quit smoking medications must be monitored by a health professional,Употребление некоторых препаратов должно находится под наблюдением медика.,Ihr Gebrauch sollte von einem Arzt begleitet werden.,to be deleted
pronto.meds.h2.2,Outros medicamentos,Otros medicamentos,Other medications,Другие препараты,Andere Medikamente,to be deleted
pronto.meds.li.5,Bupropiona - Bup (nome genérico) - e Vareniclina.,Bupropion - BUP (nombre genérico) - y vareniclina.,Bupropion and Varenicline,Бупропион и Варениклин,Bupropion und Vareniclin,to be deleted
pronto.meds.li.6,Apresentam efeitos colaterais diferentes dos medicamentos de nicotina.,Presentan efectos colaterales diferentes a los medicamentos de nicotina.,"They do not contain nicotine, and have different side effects compared to NRTs","Они не содержат никотина и имеют другие побочные эффекты, отличные от ТЗН. ",Sie haben andere Nebenwirkungen als die Nikotinmedikamente.,to be deleted
pronto.meds.li.7,Seu uso deve ser acompanhado por um médico.,Su uso debe ser supervisado por un médico.,Their use must be monitored by a health professional,Употребление должно находится под наблюдением врача.,Ihr Gebrauch sollte von einem Arzt begleitet werden.,to be deleted
pronto.meds.p.6,Parar de uma vez ou aos poucos? Saiba a melhor forma de parar de fumar.,¿Parar de inmediato o gradualmente? Aprenda la mejor manera de dejar de fumar.,Stop smoking at once or slowly? Find out the best way to stop smoking.,"Бросить курить быстро сразу или медленно? Узнайте о способе, подходящем дял Вас.",Allmählicher oder abrupter Rauchstopp? Erfahren Sie mehr über die beste Form für Ihren Rauchstopp.,to be deleted
pronto.meds.btn.next,Métodos de parar,Métodos para dejar de fumar,Ways to quit smoking,Способы бросить курить,Methoden für den Rauchstopp,ok
pronto.meds.p2.1,"Os medicamentos mais usados no tratamento do tabagismo são adesivos, gomas e pastilhas de nicotina, bupropiona e vareniclina. Eles aumentam as chances de você conseguir parar, além de diminuir os sintomas de abstinência e a vontade de fumar.","Os medicamentos mais usados no tratamento do tabagismo são adesivos, gomas e pastilhas de nicotina e alguns antidepressivos. Eles aumentam as chances de você conseguir parar, além de diminuir os sintomas de abstinência e a vontade de fumar.","The most popular medications are: nicotine patches, gums, sprays and tablets as well as some non-nicotine medications. They increase your chances of quitting, reducing the abstinence symptons and craving.","Наболее популярными препаратами явлются: никотиновые наклейки, жвачки, спреи и таблетки, а также некоторые неникотиновые медикаменты. Они увеличивают Ваши шансы бросить курить, уменьшая симптомы тяги и абсиненции.","Os medicamentos mais usados no tratamento do tabagismo são adesivos, gomas e pastilhas de nicotina e alguns antidepressivos. Eles aumentam as chances de você conseguir parar, além de diminuir os sintomas de abstinência e a vontade de fumar.",needs review
pronto.meds.p2.2,"Se for tomar qualquer um desses medicamentos, você deve consultar um médico.","Se for tomar qualquer um desses medicamentos, você deve consultar um médico.","If you are planning to take any of these medications, you ought to talk to your doctor.","Если Вы планируете употреблять такие препараты, Вы должны поговорить с Вашим врачом.","Se for tomar qualquer um desses medicamentos, você deve consultar um médico.",needs review
pronto.meds.p2.3,Os medicamentos são recomendados de acordo com o nível de dependência e outros fatores.,Os medicamentos são recomendados de acordo com o nível de dependência y otros factores.,The medications are prescribed by your level of dependence and other factors.,Препараты прописываются в соответствии с Вашей степенью зависимости и другими факторами.,Os medicamentos são recomendados de acordo com o nível de dependência.,needs review
pronto.meds.h2.3,Avalie seu nível de dependência,Avalie seu nível de dependência,Check your dependency level,Проверить степень Вашей зависимости,Check your dependency level,needs review
###################################,,,,,,ok
# WAYS TO QUIT,,,,,,ok
###################################,,,,,,ok
pronto.met.titlepage,Métodos de parar – de uma vez ou gradualmente,Métodos para dejar de fumar - de inmediato o de manera gradual,Ways to quit smoking - at once or slowly,Способы бросить курить - резко или медленно,Methoden für den Rauchstopp - direkt oder schrittweise,ok
pronto.met.img.title,Parar de fumar uma vez pode ser melhor,Parar de fumar una vez puede ser mejor. ,Stop smoking at once may be better,Бросить курить резко может быть лучшим способом.,Abrupter Rauchstopp kann erfolgreicher sein. ,ok
pronto.met.h1.1,Métodos de parar,Métodos para dejar de fumar,Ways to quit smoking,Способы бросить курить,Methoden zum Rauchstopp,ok
pronto.met.p.1,Existem dois métodos para parar de fumar: de uma vez ou aos poucos.,Existen dos métodos para dejar de fumar: de inmediato o gradualmente.,There are ways to quit smoking: at once or slowly.,Есть два пути бросить курить: резко или медленно.,"Es gibt zwei verschieden Methoden, mit dem Rauchen audzuhören: von heute auf morgen oder schrittweise.",ok
pronto.met.p.2,"Você deve escolher o que achar melhor. Contudo, pesquisas mostram que decidir parar de uma vez funciona melhor do que parar aos poucos.",Usted debe elegir lo que crea que es mejor. Investigaciones muestran que decidir dejar de fumar de inmediato funciona mejor que parar gradualmente.,"You must choose what you think is better for you. However, some studies show that  stopping at once can be more effective than stoping slowly.","Вы должны выбрать то, что на Ваш взгляд подходит Вам больше всего. Однако, некоторые исследования показывают, что бросить резко может быть более эффективным, чем бросить медленно.","Sie sollten die für Sie bessere Variante wählen. Dennoch zeigen Studien, dass es effektiver ist, abrupt mit dem Rauchen aufzuhören.",ok
pronto.met.h2.1,Parar de uma vez,Dejar de fumar de inmediato,Stopping at once,Прекратить резко,Abrupt Aufhören,ok
pronto.met.li.1,Parar de uma vez significa parar de fumar totalmente.,Dejar de fumar de inmediato significa dejar de fumar por completo.,Stopping at once means not smoking any cigarettes - even a puff,"Прекратить резко - это значит никаких сигарет вообще, даже ни одной затяжки.",Abrupt Aufhören bedeutet definitiv aufzuhören.,ok
